US20030122874A1: (dynamic, document, )
US20040088166A1: (retrieve, information, )
US20040088166A1: (via, communication network, )
US20040088166A1: (user, audible, )
US20040088166A1: (medium, audible, )
US20040088166A1: (medium, computer program, )
US20040088166A1: (provide, computer program, )
US20040088166A1: (configure, access information, )
US20040088166A1: (configure, modify information, )
===========================
US20060056233A1: (processor, , memory access)
US20060056233A1: (processor, , without)
US20060056233A1: (use, buffer memory, )
US20060056233A1: (processor, , directly)
US20030164515A1: (layer, semiconductor, )
US20030164515A1: (material, electronic device, )
US20030164515A1: (position, silicon carbide layer, )
US20030164515A1: (material, silicon carbide, )
===========================
US20060168308A1: (exchange, real time data, suspension method)
US20060168308A1: (exchange, real time data, )
US20060168308A1: (exchange, , suspension method)
US20060168308A1: (network, , outage)
US20060168308A1: (condition, real time data, )
US20060168308A1: (suspend, real time data, )
US20060168308A1: (exchange system, real time data, )
US20060168308A1: (configure, , selectively)
US20060168308A1: (linkage, real time data, )
US20060168308A1: (receive, real time data, )
US20060168308A1: (receive, processing, )
US20060168308A1: (application, processing, )
US20060168308A1: (application, processing, programmed)
US20060168308A1: (logic, prompt, )
US20060168308A1: (couple, real time data, )
US20060168308A1: (application, , programmed)
US20060168308A1: (exchange, real time data, )
US20060168308A1: (responsive, real time data, )
US20060168308A1: (store, computer program, )
US20020150082A1: (processing system, voice call, )
US20020150082A1: (gateway, processing, )
US20020150082A1: (point, call end, )
US20020150082A1: (link, voice server, )
US20020150082A1: (dispose, voice server, )
US20020150082A1: (stream, audio data, )
US20020150082A1: (gateway, audio data, )
US20020150082A1: (one, normal, priority)
US20020150082A1: (one, normal, )
US20020150082A1: (data, voice server, )
US20020150082A1: (silence, channel audio, )
US20020150082A1: (one, network data, )
US20020150082A1: (data, channel audio, )
US20020150082A1: (exchange, network source, )
US20020150082A1: (dynamic, , priority)
US20020150082A1: (processor, , selectively)
US20020150082A1: (execution, audio data, )
US20020150082A1: (receive, audio data, )
US20020150082A1: (receive, network data, )
US20020150082A1: (channel, network data, )
US20020150082A1: (transmit, call channel, )
US20020150082A1: (stream, voice data, )
US20020150082A1: (establish, voice call, )
US20020150082A1: (connection, voice call, )
US20020150082A1: (receive, audio data, )
US20020150082A1: (allocate, , high priority)
US20020150082A1: (select, audio data, )
US20020150082A1: (one, voice call, )
US20020150082A1: (reduce, , priority)
US20020150082A1: (data, voice data, )
US20020150082A1: (assign, , high priority)
US20020150082A1: (receive, audio data stream, )
US20020150082A1: (gateway, audio data stream, )
US20020150082A1: (reduce, , high priority)
US20020150082A1: (completely, audio data, )
US20020150082A1: (store, computer program, )
US20020150082A1: (stream, computer program, )
US20020150082A1: (stream, voice data, )
US20020150082A1: (code, computer program, )
===========================
US20060168308A1: (exchange, real time data, suspension method)
US20060168308A1: (exchange, real time data, )
US20060168308A1: (exchange, , suspension method)
US20060168308A1: (network, , outage)
US20060168308A1: (condition, real time data, )
US20060168308A1: (suspend, real time data, )
US20060168308A1: (exchange system, real time data, )
US20060168308A1: (configure, , selectively)
US20060168308A1: (linkage, real time data, )
US20060168308A1: (receive, real time data, )
US20060168308A1: (receive, processing, )
US20060168308A1: (application, processing, )
US20060168308A1: (application, processing, programmed)
US20060168308A1: (logic, prompt, )
US20060168308A1: (couple, real time data, )
US20060168308A1: (application, , programmed)
US20060168308A1: (exchange, real time data, )
US20060168308A1: (responsive, real time data, )
US20060168308A1: (store, computer program, )
US20030156550A1: (packet, transmit data, )
US20030156550A1: (use, , protocol)
US20030156550A1: (product, medium data, )
US20030156550A1: (control, , protocol)
US20030156550A1: (packet, control data, )
US20030156550A1: (available, transmission bandwidth, )
US20030156550A1: (step, transmission bandwidth, )
US20030156550A1: (characteristic, network link, )
US20030156550A1: (optimize, bandwidth, )
US20030156550A1: (transmit, bandwidth, )
US20030156550A1: (transmit, control data, )
===========================
US20060073814A1: (content, menu structure, )
US20060073814A1: (content, mobile device, )
US20060073814A1: (extract, navigation data, )
US20060073814A1: (link, navigation data, )
US20060073814A1: (retrieval, resource, )
US20060073814A1: (retrieve, resource, )
US20060073814A1: (forward, resource, )
US20060073814A1: (configure, , least)
US20060073814A1: (one, menu bar, )
US20060073814A1: (control, menu bar, )
US20060073814A1: (control, context menu, )
US20060073814A1: (application, control host, )
US20060073814A1: (application, mobile device, )
US20060073814A1: (extract, mobile device, )
US20060073814A1: (system, menu structure, )
US20060073814A1: (list, resource, )
US20060073814A1: (menu, navigation data, )
US20060073814A1: (handle, event, )
US20060073814A1: (entry, navigation data, )
US20060073814A1: (associate, resource, )
US20060073814A1: (store, computer program, )
US20050010877A1: (generate, graphical user interface, )
US20050010877A1: (select, , gui)
US20050010877A1: (profile, , gui)
US20050010877A1: (file, descriptor, )
US20050010877A1: (base, client, )
US20050010877A1: (request, client, )
US20050010877A1: (profile, , least)
US20050010877A1: (one, descriptor, )
US20050010877A1: (element, descriptor, )
US20050010877A1: (generate, , gui)
US20050010877A1: (base, , least)
US20050010877A1: (software, , operable)
US20050010877A1: (associate, network element, enterprise)
US20050010877A1: (memory, , operable)
US20050010877A1: (associate, store information, )
US20050010877A1: (associate, network element, )
US20050010877A1: (processor, , operable)
US20050010877A1: (request, data source information, )
US20050010877A1: (file, descriptor, xml)
US20050010877A1: (file, , xml)
US20050010877A1: (second, descriptor, )
US20050010877A1: (retrieve, data base, )
US20050010877A1: (first, descriptor, )
===========================
US20050286896A1: (carry, optical, )
US20050286896A1: (traffic, optical, )
US20050286896A1: (traffic, wavelength, )
US20050286896A1: (couple, , optical ring)
US20050286896A1: (node, optical coupler, optical ring)
US20050286896A1: (traffic, optical, optical ring)
US20050286896A1: (node, optical coupler, )
US20050286896A1: (receive, optical, )
US20050286896A1: (traffic, , optical ring)
US20050286896A1: (copy, optical, )
US20050286896A1: (along, , optical ring)
US20050286896A1: (node, optical, )
US20050286896A1: (forward, optical coupler, )
US20050286896A1: (couple, gateway node, optical ring)
US20050286896A1: (couple, gateway node, )
US20050286896A1: (node, gateway node, )
US20050286896A1: (one, another, )
US20050286896A1: (communicate, optical, )
US20050286896A1: (provide, , optical ring)
US20050286896A1: (one, another, optical ring)
US20050286896A1: (use, optical coupler, )
US20050286896A1: (one, optical coupler, )
US20050286896A1: (forward, optical, )
US20020131118A1: (packet, optical, )
US20020131118A1: (transmit, optical, )
US20020131118A1: (band, splitting device, )
US20020131118A1: (receive, splitting device, )
US20020131118A1: (receive, optical, )
US20020131118A1: (transmit, optical, )
US20020131118A1: (via, , multiwavelength)
US20020131118A1: (band, , least)
US20020131118A1: (include one, , multiwavelength)
US20020131118A1: (combine, , least)
US20020131118A1: (group, , multiwavelength)
US20020131118A1: (band, splitting device, multiwavelength)
US20020131118A1: (place, , multiwavelength)
US20020131118A1: (group, wavelength, multiwavelength)
US20020131118A1: (drop, , least)
US20020131118A1: (one, individual, )
US20020131118A1: (group, wavelength, )
US20020131118A1: (connect, stage, least)
US20020131118A1: (connect, stage, )
US20020131118A1: (connect, , least)
US20020131118A1: (one, individual, wavelength group)
US20020131118A1: (interconnection, , least)
US20020131118A1: (one, , multiwavelength)
US20020131118A1: (drop, stage, least)
US20020131118A1: (drop, stage, )
US20020131118A1: (drop, stage, )
US20020131118A1: (receive, individual, )
US20020131118A1: (forward, stage, least)
US20020131118A1: (transit, stage, )
US20020131118A1: (forward, stage, )
US20020131118A1: (forward, , least)
US20020131118A1: (add, stage, least)
US20020131118A1: (add, stage, )
US20020131118A1: (add, stage, )
US20020131118A1: (add, , least)
US20020131118A1: (add, wavelength, unequal)
US20020131118A1: (add, wavelength, )
US20020131118A1: (forward, wavelength, )
US20020131118A1: (coupler, wavelength band, )
US20020131118A1: (forward, optical signal, )
US20020131118A1: (power, optical signal, )
US20020131118A1: (second, stage, )
US20020131118A1: (coupler, output signal, )
US20020131118A1: (transit, output signal, )
US20020131118A1: (add, output signal, )
US20020131118A1: (add, optical, )
US20020131118A1: (one, optical, )
US20020131118A1: (switch, , least)
===========================
US20050289219A1: (construct, graphical user interface, )
US20050289219A1: (run, intrusion detection system, )
US20050289219A1: (field, , first set)
US20050289219A1: (second, set node, )
US20050289219A1: (network, set node, )
US20050289219A1: (field, client, )
US20050289219A1: (track, event network, )
US20050289219A1: (enter, data field, first set)
US20050289219A1: (enter, data field, )
US20050289219A1: (second, data field, )
US20050289219A1: (interpret, data field, )
US20050289219A1: (product, computer program, )
US20050289219A1: (product, computer, )
US20050289219A1: (readable medium, computer, )
US20050289219A1: (produce, graphical user interface, )
US20050289219A1: (cause, computer, )
US20050289219A1: (generate, computer, )
US20050289219A1: (generate, user interface, )
US20050289219A1: (use, intrusion detection system, )
US20050289219A1: (check, intrusion detection system, )
US20050289219A1: (check, traffic network, )
US20050289219A1: (time, day, period)
US20050289219A1: (time, day, )
US20050289219A1: (time, , period)
US20050289219A1: (second, node network, )
US20050289219A1: (unit, traffic flow, )
US20050289219A1: (condition, , necessary)
US20050289219A1: (provide, user interface, )
US20050289219A1: (communication, , certain)
US20050289219A1: (exceed, detect host, )
US20050289219A1: (produce, series, )
US20050289219A1: (page, series, )
US20050289219A1: (call, , specific)
US20020093527A1: (display, user interface, )
US20020093527A1: (analyze, network data, )
US20020093527A1: (end, network data, )
US20020093527A1: (date, dashboard, current monitoring)
US20020093527A1: (system, dashboard, )
US20020093527A1: (date, dashboard, )
US20020093527A1: (date, , current monitoring)
US20020093527A1: (monitor, information, )
US20020093527A1: (console, network status, )
US20020093527A1: (console, area, )
US20020093527A1: (network, event, )
US20020093527A1: (view, event, )
US20020093527A1: (view, area, )
===========================
US20050289219A1: (construct, graphical user interface, )
US20050289219A1: (run, intrusion detection system, )
